"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"52","Full","BLM1_fit_NoErrors","deviance",-4299.35120699682,52.8835598276822,-4331.91008311823,-4313.13444096414,-4302.01156302866,-4290.63617917267,-4265.32411756491,1.14295044661544,1500
"53","Full","BLM1_fit_NoErrors","tau",1706.77331612749,94.546038799134,1545.96452674338,1651.61442617724,1706.52405518272,1764.60052718767,1869.83506409589,1.05353495556636,1500
"54","Full","BLM3_fit","alpha[1]",0.199767957935121,0.043475674587142,0.145839931072465,0.166792328790843,0.18531410675484,0.226242717102172,0.293835929324255,4.95977547072592,3
"55","Full","BLM3_fit","alpha[2]",0.162235547347629,0.0149308043252688,0.149444026559987,0.156264537803079,0.159446199473888,0.162768607265624,0.204525751033909,1.11331493436717,42
"56","Full","BLM3_fit","beta[1]",0.0349632777700997,0.00364567739974571,0.0271151646560762,0.0327715802431449,0.0361993046333439,0.0377457175211599,0.0395094937642396,4.14407536075751,3
"57","Full","BLM3_fit","beta[2]",0.0389284835942563,0.00145232939288948,0.0350122766726018,0.038903186592954,0.0392014362908965,0.0394863482528144,0.0401606006036627,1.17085334567117,65
"58","Full","BLM3_fit","conditionalR2",0.987170527486186,0.0212946836320044,0.920392684584724,0.989085588443086,0.9967473339942,0.998501998325772,0.999107997009297,1.00741617917636,970
"59","Full","BLM3_fit","deviance",-8164.4896886945,56.1557781830269,-8273.78421215609,-8201.34701928894,-8164.65538895501,-8127.89926844994,-8052.38994115803,1.00257522684569,780
"60","Full","BLM3_fit","marginalR2",0.137840595961107,0.226515331083929,0.00971763567674595,0.0159361891295031,0.0355121295593316,0.117688397747298,0.877012977514448,1.00063686185838,1500
"61","Full","BLM1_fit","alpha",0.153135201230071,0.0109715771097971,0.119576190954717,0.15191659177401,0.154603459160126,0.158052927994383,0.165013519705173,1.30278022647782,22
"62","Full","BLM1_fit","beta",0.0392500517503275,0.000946948171330617,0.0382132425850788,0.0388190219868304,0.0391330601516393,0.0393466949571929,0.0421507430490852,1.27577317183949,20
"63","Full","BLM1_fit","deviance",-8032.52610860555,55.1274932510714,-8135.6591859123,-8069.42973057111,-8032.67009911701,-7994.33529800616,-7925.7878185932,1.00107888739499,1500
"64","Full","BLM1_fit","tauy",1743.19552172048,103.712700699311,1537.67346319047,1681.61409181074,1744.38269496,1807.05071447917,1942.27460485114,1.02940109156619,260
"65","Full","BLM1_fit_NoErrors","alpha",0.153236955390747,0.011304699047466,0.142827266665346,0.149534475816272,0.153037077953766,0.156568864228968,0.162972289204003,1.02156975565123,1500
"66","Full","BLM1_fit_NoErrors","beta",0.039229367135147,0.000916307263971538,0.0383810954816109,0.0389377561847733,0.0392442055685574,0.0395472227771904,0.0401064267174258,1.2121357850971,1500
