"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"40","Full","BLM3_fit","conditionalR2",0.994882197923697,0.00935839187331447,0.968456035977326,0.995686086042945,0.998770101052671,0.999410733086796,0.999648604389689,1.04028407468768,600
"41","Full","BLM3_fit","deviance",-6066.34189510099,50.0656343705391,-6166.45081972803,-6100.59983794202,-6067.56475385197,-6035.48919447359,-5966.13125880383,1.00797546501483,270
"42","Full","BLM3_fit","marginalR2",0.141679458842984,0.234326589817548,0.0102259415904688,0.0169383879853604,0.0352625777967014,0.124637528219307,0.912589577685446,1.00180191555087,1300
"43","4","BLM1_fit","alpha",0.147721438749993,0.0908578088232428,-0.0385568897270966,0.0933278824981904,0.14593595546031,0.202784172017577,0.334650384737927,1.07587419518976,120
"44","4","BLM1_fit","beta",0.0400596762682999,0.0134079954784429,0.0123726741325803,0.0324530423643248,0.040041036385584,0.0479081295301927,0.0668832671356074,1.08237285231356,120
"45","4","BLM1_fit","deviance",-147.71452840092,8.50208374753855,-162.474160430667,-153.837565323823,-148.409811608197,-142.401134099004,-129.415650694177,1.00023816955198,1500
"46","4","BLM1_fit","tauy",81.1526545875693,27.7541323001877,37.2801980393992,60.8999594863743,77.0607869944358,97.3076753820988,146.003791418082,1.00845094957492,240
"47","4","BLM1_fit_NoErrors","alpha",0.134408493316757,0.0915843350820574,-0.0536413390151844,0.0777677635815918,0.132217303670429,0.191571905353296,0.316329650004739,1.00326241314066,610
"48","4","BLM1_fit_NoErrors","beta",0.0421841344026131,0.0133548767333119,0.0160920043149132,0.0335473006630043,0.0421014924180242,0.0502030388128453,0.0678788939059446,1.00281042493286,710
"49","4","BLM1_fit_NoErrors","deviance",-46.0141465439865,7.14545166148662,-58.1702396569529,-50.8859446755266,-46.5258992317219,-41.9473077388954,-30.6007921029391,1.00039555291702,1500
"50","4","BLM1_fit_NoErrors","tau",85.4364521662352,29.3767430911548,37.1496988983681,64.867412303285,82.6492601510796,102.936874554145,150.028303052275,1.00097259207344,1500
"51","4","BLM1_fit","alpha",0.160582768732861,0.0768126770113479,0.0172068264751908,0.106832378787101,0.159032063058563,0.215015682000929,0.311038303828747,1.07509433124115,34
"52","4","BLM1_fit","beta",0.0382943313551298,0.0117183100990088,0.0158238392746768,0.0302799798600018,0.0384631723354511,0.0463221537238446,0.0610759895267268,1.11021910612412,30
"53","4","BLM1_fit","deviance",-151.63223614839,8.66040902708593,-166.680495254753,-157.966653049227,-152.114979257931,-146.285338909555,-133.270155963824,1.00017431221416,1500
"54","4","BLM1_fit","tauy",81.7394577746223,27.4208247563961,37.6576713342066,62.3989522853834,78.4871185781015,98.6624019152752,142.245285373882,1.00262419307599,760
"55","4","BLM1_fit_NoErrors","alpha",0.160748395900413,0.0916059909242143,0.00128197993456033,0.105672058641818,0.160490510136717,0.213341439504646,0.326494519561741,1.01501335300743,1500
"56","4","BLM1_fit_NoErrors","beta",0.0383567977690249,0.0146017351852727,0.0132476294269851,0.0300596030927829,0.0382202607931464,0.0470159400972763,0.0637823750554927,1.02588278912805,1500
"57","4","BLM1_fit_NoErrors","deviance",-45.4743515079642,7.41665255489034,-58.2907846208068,-50.3286717727314,-45.9482943071413,-40.9390049751233,-31.1422660524371,1.0072566390571,1200
"58","4","BLM1_fit_NoErrors","tau",83.4074806755195,28.9079655618334,37.7109715767206,62.4912635430174,80.109505307123,100.547124559783,147.501028198702,1.00361976312536,1500
"59","1","BLM1_fit","alpha",0.174501386920669,0.094921699690018,-0.0479092408318353,0.122893104317509,0.166690505056706,0.243107346508223,0.366846286228787,1.3286577455991,11
"60","1","BLM1_fit","beta",0.0374199905866901,0.00786656505350987,0.0212938797826093,0.0317560787554709,0.0381101904822813,0.0417441620071106,0.0558719468069925,1.3846525430703,10
"61","1","BLM1_fit","deviance",-681.878278599341,17.8403559511555,-714.192608773885,-693.823838341802,-682.762346920421,-670.226985559091,-644.652188583702,1.00011679248944,1500
"62","1","BLM1_fit","tauy",361.33132174507,58.1383379274366,258.431871755579,321.333759192522,357.780767291791,398.882681945458,482.18689813358,1.01272541280308,330
"63","1","BLM1_fit_NoErrors","alpha",0.253338528926912,0.109115664364576,0.0825357747086897,0.200975478235708,0.252083506989679,0.302978962076785,0.416820099852056,1.01795869215263,1500
"64","1","BLM1_fit_NoErrors","beta",0.0309123020133347,0.00892524301618115,0.01739875225548,0.0268421161652446,0.0310608643320182,0.0353493121424583,0.0453104681068806,1.01455253884663,1500
"65","1","BLM1_fit_NoErrors","deviance",-346.032387626532,16.3135766054811,-369.83481787573,-354.677576437665,-346.923564059979,-338.498257152535,-321.437294715047,1.00348574200371,1500
"66","1","BLM1_fit_NoErrors","tau",384.307566249135,60.5218472266873,278.20580092428,343.018226086355,382.305675538827,421.086175551537,513.61654778445,1.00119663752922,1500
"67","1","BLM1_fit","alpha",0.213668299082251,0.066438713546246,0.0500562750353281,0.181849305652539,0.223541930258675,0.260490494468896,0.311451569372976,1.65990922355777,6
"68","1","BLM1_fit","beta",0.034277732020226,0.00551199238529331,0.0261170948415245,0.0304525360375986,0.0334460723211799,0.0369098263717152,0.0478413512000565,1.73938261371326,6
"69","1","BLM1_fit","deviance",-710.871425807159,18.4767090675828,-744.490177304262,-724.386248974646,-711.881378877757,-698.545011144728,-673.854254848429,1.00030574161322,1500
"70","1","BLM1_fit","tauy",365.446871097499,57.3310609568628,262.208116870292,325.452612196347,363.788699395212,404.007305566503,479.621157180954,1.00678589577426,300
"71","1","BLM1_fit_NoErrors","alpha",0.244607779093029,0.106837333363571,0.0850613323928423,0.186593300424641,0.243722964947012,0.301995359992465,0.423369460904851,1.00673615390828,1200
"72","1","BLM1_fit_NoErrors","beta",0.0317241164019563,0.0090490630285418,0.0170740700418303,0.0269582535918184,0.0316972814266025,0.0365312669471056,0.0447609742391,1.00676765147567,1100
"73","1","BLM1_fit_NoErrors","deviance",-343.306600789737,15.7550683863178,-366.172041229495,-352.121214933024,-344.297461527334,-336.022856177555,-318.973838417399,1.00141547892757,1500
