Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.606,0.006175827,23.7,11.34817158,0.1,0.008,-3.69,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.665,0.006931581,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.649,0.011757127,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.668,0.004105956,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-16,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.004050362,15.9,11.96889488,1.7,0.14,-1.57,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-3.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.651,0.0227,3.4,13.07533048,0.8,0.075,-1.57,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-8.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.619,0.012376039,8.6,12.59714564,2.2,0.194,-1.66,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-12,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.672,0.019265,12,12.29853123,0.5,0.043,-2.03,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-15,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.645,0.004956149,15,12.04377829,0.5,0.042,-1.37,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-4,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.68,0.007852922,4,13.01877838,0.5,0.047,-1.94,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-8,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.661,0.007614406,8,12.65096995,0.5,0.045,-3.07,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P105,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.613,0.005926348,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P110,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.596,0.010779306,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P132,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.628,0.006438362,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P52,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.614,0.000898016,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P8-30,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.003532734,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P95,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.611,0.006827183,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.593,0.000946262,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.604,0.01374225,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.605,0.008059193,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,,RBJ-1-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.591,0.005223958,27.5,11.06311899,1,0.073,0.8,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Arctica,Arctica islandica,Arctica,Arctica islandica,,,,WG061278,A,JohnsHopkins,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.635,0.01232698,4.7,12.95326343,2,0.184,0.08,NA,90,,Petersen,CDES,Large,Neither,
2014,Fernandez,,,,,,,,,SID3,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,4,0.534,0.015,39,10.26297619,1,0.065,-6.1,0.4,100,,Petersen,CDES,Large,Neither,
2014,Fernandez,,,,,,,,,SID4,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,5,0.507,0.017,51,9.517172655,1,0.058,-5.9,0.4,100,,Petersen,CDES,Large,Neither,
2014,Fernandez,,,,,,,,,SID5,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,3,0.583,0.013,21,11.55745722,1,0.078,-6.4,0.4,100,,Petersen,CDES,Large,Neither,
2014,Wacker,Brachiopod,Dyscolia,Dyscolia wyvillei,Dyscolia,Dyscolia wyvillei,,,,Dwyvillei,C,Goethe,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,27,0.644247407,0.003275366,10,12.47288356,1,0.088,0.49,NA,90,,Petersen,CDES,Large,Neither,
2014,Wacker,Foraminifera,Globorotalia,Globorotalia hirsuta,Globorotalia,Globorotalia hirsuta,4 Open ocean sub-thermocline,Aze et al 2011,,Ghirsuta,C,Goethe,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.644755,0.006115,9,12.56145338,1,0.089,,,90,,Petersen,CDES,Large,Neither,
